state,county,state_code,county_code,year_span,measure_name,measure_id,rate
AL,Autauga County,1,1,2002,Children in poverty,24,14
AL,Autauga County,1,1,2003,Children in poverty,24,15
AL,Autauga County,1,1,2003,Children in poverty,24,15
AL,Autauga County,1,1,2004,Children in poverty,24,16
AL,Autauga County,1,1,2004,Children in poverty,24,16
AL,Autauga County,1,1,2005,Children in poverty,24,15
AL,Autauga County,1,1,2006,Children in poverty,24,16
AL,Autauga County,1,1,2007,Children in poverty,24,14
AL,Autauga County,1,1,2008,Children in poverty,24,15
AL,Autauga County,1,1,2009,Children in poverty,24,16
AL,Autauga County,1,1,2010,Children in poverty,24,18
AL,Autauga County,1,1,2011,Children in poverty,24,21
AL,Autauga County,1,1,2012,Children in poverty,24,18
AL,Baldwin County,1,3,2002,Children in poverty,24,16
AL,Baldwin County,1,3,2003,Children in poverty,24,16
AL,Baldwin County,1,3,2003,Children in poverty,24,16
AL,Baldwin County,1,3,2004,Children in poverty,24,15
AL,Baldwin County,1,3,2004,Children in poverty,24,15
AL,Baldwin County,1,3,2005,Children in poverty,24,19
AL,Baldwin County,1,3,2006,Children in poverty,24,16
AL,Baldwin County,1,3,2007,Children in poverty,24,15
AL,Baldwin County,1,3,2008,Children in poverty,24,15
AL,Baldwin County,1,3,2009,Children in poverty,24,20
AL,Baldwin County,1,3,2010,Children in poverty,24,20
AL,Baldwin County,1,3,2011,Children in poverty,24,20
AL,Baldwin County,1,3,2012,Children in poverty,24,20
AL,Barbour County,1,5,2002,Children in poverty,24,30
AL,Barbour County,1,5,2003,Children in poverty,24,30
AL,Barbour County,1,5,2003,Children in poverty,24,30
AL,Barbour County,1,5,2004,Children in poverty,24,31
AL,Barbour County,1,5,2004,Children in poverty,24,31
AL,Barbour County,1,5,2005,Children in poverty,24,32
AL,Barbour County,1,5,2006,Children in poverty,24,34
AL,Barbour County,1,5,2007,Children in poverty,24,34
AL,Barbour County,1,5,2008,Children in poverty,24,32
AL,Barbour County,1,5,2009,Children in poverty,24,41
AL,Barbour County,1,5,2010,Children in poverty,24,36
AL,Barbour County,1,5,2011,Children in poverty,24,40
AL,Barbour County,1,5,2012,Children in poverty,24,47
AL,Bibb County,1,7,2002,Children in poverty,24,23
AL,Bibb County,1,7,2003,Children in poverty,24,24
AL,Bibb County,1,7,2003,Children in poverty,24,24
AL,Bibb County,1,7,2004,Children in poverty,24,24
AL,Bibb County,1,7,2004,Children in poverty,24,24
AL,Bibb County,1,7,2005,Children in poverty,24,24
AL,Bibb County,1,7,2006,Children in poverty,24,25
AL,Bibb County,1,7,2007,Children in poverty,24,24
AL,Bibb County,1,7,2008,Children in poverty,24,25
AL,Bibb County,1,7,2009,Children in poverty,24,26
AL,Bibb County,1,7,2010,Children in poverty,24,29
AL,Bibb County,1,7,2011,Children in poverty,24,30
AL,Bibb County,1,7,2012,Children in poverty,24,27
AL,Blount County,1,9,2002,Children in poverty,24,17
AL,Blount County,1,9,2003,Children in poverty,24,17
AL,Blount County,1,9,2003,Children in poverty,24,17
AL,Blount County,1,9,2004,Children in poverty,24,17
AL,Blount County,1,9,2004,Children in poverty,24,17
AL,Blount County,1,9,2005,Children in poverty,24,17
AL,Blount County,1,9,2006,Children in poverty,24,18
AL,Blount County,1,9,2007,Children in poverty,24,18
AL,Blount County,1,9,2008,Children in poverty,24,17
AL,Blount County,1,9,2009,Children in poverty,24,20
AL,Blount County,1,9,2010,Children in poverty,24,24
AL,Blount County,1,9,2011,Children in poverty,24,22
AL,Blount County,1,9,2012,Children in poverty,24,23
AL,Bullock County,1,11,2002,Children in poverty,24,30
AL,Bullock County,1,11,2003,Children in poverty,24,33
AL,Bullock County,1,11,2003,Children in poverty,24,33
AL,Bullock County,1,11,2004,Children in poverty,24,35
AL,Bullock County,1,11,2004,Children in poverty,24,35
AL,Bullock County,1,11,2005,Children in poverty,24,46
AL,Bullock County,1,11,2006,Children in poverty,24,38
AL,Bullock County,1,11,2007,Children in poverty,24,39
AL,Bullock County,1,11,2008,Children in poverty,24,38
AL,Bullock County,1,11,2009,Children in poverty,24,40
AL,Bullock County,1,11,2010,Children in poverty,24,40
AL,Bullock County,1,11,2011,Children in poverty,24,41
AL,Bullock County,1,11,2012,Children in poverty,24,43
AL,Butler County,1,13,2002,Children in poverty,24,28
AL,Butler County,1,13,2003,Children in poverty,24,30
AL,Butler County,1,13,2003,Children in poverty,24,30
AL,Butler County,1,13,2004,Children in poverty,24,30
AL,Butler County,1,13,2004,Children in poverty,24,30
AL,Butler County,1,13,2005,Children in poverty,24,33
AL,Butler County,1,13,2006,Children in poverty,24,31
AL,Butler County,1,13,2007,Children in poverty,24,34
AL,Butler County,1,13,2008,Children in poverty,24,31
AL,Butler County,1,13,2009,Children in poverty,24,39
AL,Butler County,1,13,2010,Children in poverty,24,40
AL,Butler County,1,13,2011,Children in poverty,24,36
AL,Butler County,1,13,2012,Children in poverty,24,42
AL,Calhoun County,1,15,2002,Children in poverty,24,23
AL,Calhoun County,1,15,2003,Children in poverty,24,24
AL,Calhoun County,1,15,2003,Children in poverty,24,24
AL,Calhoun County,1,15,2004,Children in poverty,24,25
AL,Calhoun County,1,15,2004,Children in poverty,24,25
AL,Calhoun County,1,15,2005,Children in poverty,24,24
AL,Calhoun County,1,15,2006,Children in poverty,24,27
AL,Calhoun County,1,15,2007,Children in poverty,24,25
AL,Calhoun County,1,15,2008,Children in poverty,24,23
AL,Calhoun County,1,15,2009,Children in poverty,24,27
AL,Calhoun County,1,15,2010,Children in poverty,24,32
AL,Calhoun County,1,15,2011,Children in poverty,24,32
AL,Calhoun County,1,15,2012,Children in poverty,24,31
AL,Chambers County,1,17,2002,Children in poverty,24,23
AL,Chambers County,1,17,2003,Children in poverty,24,24
AL,Chambers County,1,17,2003,Children in poverty,24,24
AL,Chambers County,1,17,2004,Children in poverty,24,24
AL,Chambers County,1,17,2004,Children in poverty,24,24
AL,Chambers County,1,17,2005,Children in poverty,24,24
AL,Chambers County,1,17,2006,Children in poverty,24,26
AL,Chambers County,1,17,2007,Children in poverty,24,25
AL,Chambers County,1,17,2008,Children in poverty,24,27
AL,Chambers County,1,17,2009,Children in poverty,24,30
AL,Chambers County,1,17,2010,Children in poverty,24,44
AL,Chambers County,1,17,2011,Children in poverty,24,39
AL,Chambers County,1,17,2012,Children in poverty,24,35
AL,Cherokee County,1,19,2002,Children in poverty,24,23
AL,Cherokee County,1,19,2003,Children in poverty,24,24
AL,Cherokee County,1,19,2003,Children in poverty,24,24
AL,Cherokee County,1,19,2004,Children in poverty,24,24
AL,Cherokee County,1,19,2004,Children in poverty,24,24
AL,Cherokee County,1,19,2005,Children in poverty,24,26
