state,county,state_code,county_code,measure_name,measure_id,rate
IA,Dubuque County,19,61,Diabetic screening,7,93
WI,Wood County,55,141,Diabetic screening,7,92
WI,Sheboygan County,55,117,Diabetic screening,7,92
MN,Olmsted County,27,109,Diabetic screening,7,92
NC,New Hanover County,37,129,Diabetic screening,7,92
WI,Eau Claire County,55,35,Diabetic screening,7,92
NC,Moore County,37,125,Diabetic screening,7,91
WI,Marathon County,55,73,Diabetic screening,7,91
PA,Snyder County,42,109,Diabetic screening,7,91
IA,Story County,19,169,Diabetic screening,7,91
WI,La Crosse County,55,63,Diabetic screening,7,91
WI,Washington County,55,131,Diabetic screening,7,91
WI,Oneida County,55,85,Diabetic screening,7,91
NY,Warren County,36,113,Diabetic screening,7,90
WI,Dane County,55,25,Diabetic screening,7,90
WI,Clark County,55,19,Diabetic screening,7,90
VA,Orange County,51,137,Diabetic screening,7,90
PA,Huntingdon County,42,61,Diabetic screening,7,90
ND,Cass County,38,17,Diabetic screening,7,90
PA,Northumberland County,42,97,Diabetic screening,7,90
MN,Otter Tail County,27,111,Diabetic screening,7,90
MN,St. Louis County,27,137,Diabetic screening,7,90
MI,Mecosta County,26,107,Diabetic screening,7,90
MN,Carlton County,27,17,Diabetic screening,7,90
WI,Outagamie County,55,87,Diabetic screening,7,90
NH,Merrimack County,33,13,Diabetic screening,7,90
VT,Washington County,50,23,Diabetic screening,7,90
WA,Chelan County,53,7,Diabetic screening,7,90
MA,Berkshire County,25,3,Diabetic screening,7,90
MN,Washington County,27,163,Diabetic screening,7,90
WI,Manitowoc County,55,71,Diabetic screening,7,90
IA,Boone County,19,15,Diabetic screening,7,90
WI,Dodge County,55,27,Diabetic screening,7,90
WI,Chippewa County,55,17,Diabetic screening,7,90
WI,Green County,55,45,Diabetic screening,7,90
IL,Adams County,17,1,Diabetic screening,7,90
IA,Muscatine County,19,139,Diabetic screening,7,90
NY,Washington County,36,115,Diabetic screening,7,90
WI,Portage County,55,97,Diabetic screening,7,90
NC,Alamance County,37,1,Diabetic screening,7,90
WI,Winnebago County,55,139,Diabetic screening,7,90
NY,Tompkins County,36,109,Diabetic screening,7,90
WI,Fond du Lac County,55,39,Diabetic screening,7,89
WI,Vilas County,55,125,Diabetic screening,7,89
WI,Brown County,55,9,Diabetic screening,7,89
TN,Sullivan County,47,163,Diabetic screening,7,89
VT,Chittenden County,50,7,Diabetic screening,7,89
ME,Kennebec County,23,11,Diabetic screening,7,89
ME,Penobscot County,23,19,Diabetic screening,7,89
TN,Blount County,47,9,Diabetic screening,7,89
SD,Brown County,46,13,Diabetic screening,7,89
MN,Dakota County,27,37,Diabetic screening,7,89
OH,Wyandot County,39,175,Diabetic screening,7,89
WA,Clallam County,53,9,Diabetic screening,7,89
ME,Androscoggin County,23,1,Diabetic screening,7,89
NH,Hillsborough County,33,11,Diabetic screening,7,89
GA,Habersham County,13,137,Diabetic screening,7,89
VT,Franklin County,50,11,Diabetic screening,7,89
MI,Presque Isle County,26,141,Diabetic screening,7,89
WA,Grant County,53,25,Diabetic screening,7,89
MI,Shiawassee County,26,155,Diabetic screening,7,89
OH,Licking County,39,89,Diabetic screening,7,89
MA,Bristol County,25,5,Diabetic screening,7,89
ME,Cumberland County,23,5,Diabetic screening,7,89
MN,Goodhue County,27,49,Diabetic screening,7,89
NC,Buncombe County,37,21,Diabetic screening,7,89
VA,Culpeper County,51,47,Diabetic screening,7,89
WI,Ozaukee County,55,89,Diabetic screening,7,89
WI,Barron County,55,5,Diabetic screening,7,89
WI,Columbia County,55,21,Diabetic screening,7,89
NY,Seneca County,36,99,Diabetic screening,7,89
NH,Coos County,33,7,Diabetic screening,7,89
OH,Hancock County,39,63,Diabetic screening,7,89
