state,county,state_code,county_code,year_span,measure_name,measure_id,numerator,denominator,raw_value,confidence_lower,confidence_upper
US,United States,0.0,0.0,2003-2005,Mammography screening,50.0,,1314837.0,0.63,,
US,United States,0.0,0.0,2006-2007,Mammography screening,50.0,,851064.0,0.635,,
US,United States,0.0,0.0,2008,Mammography screening,50.0,,2042779.0,0.656,,
US,United States,0.0,0.0,2009,Mammography screening,50.0,,2078967.0,0.659,,
US,United States,0.0,0.0,2010,Mammography screening,50.0,,2109410.0,0.654,,
US,United States,0.0,0.0,2011,Mammography screening,50.0,,2242472.0,0.628968389,,
AL,Alabama,1.0,0.0,2003-2005,Mammography screening,50.0,,26582.0,0.635,0.63,0.64
AL,Alabama,1.0,0.0,2006-2007,Mammography screening,50.0,,16802.0,0.625,0.61,0.64
AL,Alabama,1.0,0.0,2008,Mammography screening,50.0,,39633.0,0.655,0.65,0.66
AL,Alabama,1.0,0.0,2009,Mammography screening,50.0,,39097.0,0.654,0.65,0.66
AL,Alabama,1.0,0.0,2010,Mammography screening,50.0,,39019.0,0.653,0.64,0.66
AL,Alabama,1.0,0.0,2011,Mammography screening,50.0,,42267.0,0.627865711,0.620311506,0.635419915
AL,Autauga County,1.0,1.0,2003-2005,Mammography screening,50.0,,272.0,0.654,0.56,0.75
AL,Autauga County,1.0,1.0,2006-2007,Mammography screening,50.0,,,,,
AL,Autauga County,1.0,1.0,2008,Mammography screening,50.0,,365.0,0.66,0.58,0.74
AL,Autauga County,1.0,1.0,2009,Mammography screening,50.0,,352.0,0.636,0.55,0.72
AL,Autauga County,1.0,1.0,2010,Mammography screening,50.0,,352.0,0.685,0.6,0.77
AL,Autauga County,1.0,1.0,2011,Mammography screening,50.0,,425.0,0.665882353,0.588300462,0.743464244
AL,Baldwin County,1.0,3.0,2003-2005,Mammography screening,50.0,,1164.0,0.683,0.64,0.73
AL,Baldwin County,1.0,3.0,2006-2007,Mammography screening,50.0,,749.0,0.725,0.66,0.79
AL,Baldwin County,1.0,3.0,2008,Mammography screening,50.0,,1773.0,0.708,0.67,0.75
AL,Baldwin County,1.0,3.0,2009,Mammography screening,50.0,,1758.0,0.714,0.67,0.75
AL,Baldwin County,1.0,3.0,2010,Mammography screening,50.0,,1746.0,0.699,0.66,0.74
AL,Baldwin County,1.0,3.0,2011,Mammography screening,50.0,,1841.0,0.67083107,0.633416931,0.70824521
AL,Barbour County,1.0,5.0,2003-2005,Mammography screening,50.0,,,,,
AL,Barbour County,1.0,5.0,2006-2007,Mammography screening,50.0,,,,,
AL,Barbour County,1.0,5.0,2008,Mammography screening,50.0,,223.0,0.632,0.53,0.74
AL,Barbour County,1.0,5.0,2009,Mammography screening,50.0,,248.0,0.653,0.55,0.75
AL,Barbour County,1.0,5.0,2010,Mammography screening,50.0,,281.0,0.648,0.55,0.74
AL,Barbour County,1.0,5.0,2011,Mammography screening,50.0,,282.0,0.645390071,0.551624661,0.739155481
AL,Bibb County,1.0,7.0,2003-2005,Mammography screening,50.0,,,,,
AL,Bibb County,1.0,7.0,2006-2007,Mammography screening,50.0,,,,,
