state,county,state_code,county_code,year_span,measure_name,measure_id,rate
AL,Greene County,1,63,2009,Adult obesity,11,48
AL,Greene County,1,63,2010,Adult obesity,11,48
MS,Coahoma County,28,27,2010,Adult obesity,11,47
AL,Lowndes County,1,85,2009,Adult obesity,11,45
SD,Ziebach County,46,137,2010,Adult obesity,11,45
MS,Jefferson County,28,63,2009,Adult obesity,11,45
MS,Jefferson County,28,63,2010,Adult obesity,11,45
MS,Coahoma County,28,27,2009,Adult obesity,11,44
AL,Greene County,1,63,2007,Adult obesity,11,44
ND,Sioux County,38,85,2010,Adult obesity,11,44
AL,Greene County,1,63,2008,Adult obesity,11,44
MS,Noxubee County,28,103,2010,Adult obesity,11,44
AL,Hale County,1,65,2009,Adult obesity,11,44
AL,Lowndes County,1,85,2010,Adult obesity,11,44
MS,Sunflower County,28,133,2010,Adult obesity,11,44
SD,Ziebach County,46,137,2009,Adult obesity,11,44
MS,Coahoma County,28,27,2008,Adult obesity,11,43
AL,Wilcox County,1,131,2009,Adult obesity,11,43
SD,Dewey County,46,41,2009,Adult obesity,11,43
SC,Marlboro County,45,69,2009,Adult obesity,11,43
SC,Williamsburg County,45,89,2010,Adult obesity,11,43
MS,Holmes County,28,51,2007,Adult obesity,11,42
MS,Tunica County,28,143,2008,Adult obesity,11,42
MS,Humphreys County,28,53,2007,Adult obesity,11,42
MS,Holmes County,28,51,2008,Adult obesity,11,42
MS,Jefferson County,28,63,2007,Adult obesity,11,42
MS,Humphreys County,28,53,2008,Adult obesity,11,42
SC,Bamberg County,45,9,2010,Adult obesity,11,42
MS,Holmes County,28,51,2006,Adult obesity,11,42
LA,East Carroll Parish,22,35,2010,Adult obesity,11,42
MS,Claiborne County,28,21,2009,Adult obesity,11,42
MS,Humphreys County,28,53,2010,Adult obesity,11,42
MS,Jefferson County,28,63,2008,Adult obesity,11,42
AL,Hale County,1,65,2010,Adult obesity,11,42
SD,Shannon County,46,113,2009,Adult obesity,11,42
SD,Shannon County,46,113,2010,Adult obesity,11,42
AL,Wilcox County,1,131,2010,Adult obesity,11,42
MS,Wilkinson County,28,157,2010,Adult obesity,11,42
SC,Jasper County,45,53,2010,Adult obesity,11,42
ND,Sioux County,38,85,2009,Adult obesity,11,42
SC,Hampton County,45,49,2010,Adult obesity,11,42
SD,Dewey County,46,41,2010,Adult obesity,11,42
SD,Todd County,46,121,2010,Adult obesity,11,42
SD,Corson County,46,31,2009,Adult obesity,11,42
SD,Buffalo County,46,17,2010,Adult obesity,11,42
SD,Buffalo County,46,17,2009,Adult obesity,11,42
SC,Williamsburg County,45,89,2009,Adult obesity,11,42
MS,Sunflower County,28,133,2009,Adult obesity,11,42
AL,Greene County,1,63,2006,Adult obesity,11,42
SD,Corson County,46,31,2010,Adult obesity,11,42
AL,Sumter County,1,119,2009,Adult obesity,11,42
AL,Marengo County,1,91,2010,Adult obesity,11,42
SD,Todd County,46,121,2009,Adult obesity,11,42
AL,Bullock County,1,11,2010,Adult obesity,11,42
AL,Lowndes County,1,85,2008,Adult obesity,11,41
AL,Perry County,1,105,2008,Adult obesity,11,41
SC,Marlboro County,45,69,2010,Adult obesity,11,41
MS,Sharkey County,28,125,2010,Adult obesity,11,41
LA,St. Landry Parish,22,97,2010,Adult obesity,11,41
MS,Quitman County,28,119,2010,Adult obesity,11,41
SD,Shannon County,46,113,2008,Adult obesity,11,41
AL,Sumter County,1,119,2008,Adult obesity,11,41
MS,Sunflower County,28,133,2008,Adult obesity,11,41
AL,Macon County,1,87,2009,Adult obesity,11,41
AL,Butler County,1,13,2009,Adult obesity,11,41
AL,Wilcox County,1,131,2008,Adult obesity,11,41
SC,Hampton County,45,49,2009,Adult obesity,11,41
AL,Dallas County,1,47,2010,Adult obesity,11,41
NC,Robeson County,37,155,2009,Adult obesity,11,41
MS,Claiborne County,28,21,2008,Adult obesity,11,41
MS,Claiborne County,28,21,2010,Adult obesity,11,41
MS,Claiborne County,28,21,2007,Adult obesity,11,41
WV,Logan County,54,45,2010,Adult obesity,11,41
AL,Dallas County,1,47,2009,Adult obesity,11,41
AL,Dallas County,1,47,2007,Adult obesity,11,41
SC,Bamberg County,45,9,2009,Adult obesity,11,41
MS,Leflore County,28,83,2010,Adult obesity,11,41
MS,Humphreys County,28,53,2009,Adult obesity,11,41
MS,Tunica County,28,143,2006,Adult obesity,11,41
MS,Tunica County,28,143,2010,Adult obesity,11,41
KY,Perry County,21,193,2010,Adult obesity,11,41
MS,Holmes County,28,51,2009,Adult obesity,11,41
MS,Tunica County,28,143,2007,Adult obesity,11,41
LA,Caldwell Parish,22,21,2010,Adult obesity,11,41
MS,Franklin County,28,37,2010,Adult obesity,11,41
MS,Holmes County,28,51,2010,Adult obesity,11,41
NC,Robeson County,37,155,2010,Adult obesity,11,41
MS,Humphreys County,28,53,2006,Adult obesity,11,41
NC,Edgecombe County,37,65,2009,Adult obesity,11,40
SC,Dillon County,45,33,2010,Adult obesity,11,40
MS,Wilkinson County,28,157,2006,Adult obesity,11,40
SC,Calhoun County,45,17,2009,Adult obesity,11,40
MS,Covington County,28,31,2009,Adult obesity,11,40
AR,Jefferson County,5,69,2010,Adult obesity,11,40
MD,Somerset County,24,39,2009,Adult obesity,11,40
MS,Warren County,28,149,2010,Adult obesity,11,40
MS,Wilkinson County,28,157,2009,Adult obesity,11,40
MS,Claiborne County,28,21,2006,Adult obesity,11,40
AR,Ouachita County,5,103,2010,Adult obesity,11,40
AL,Macon County,1,87,2007,Adult obesity,11,40
SC,Williamsburg County,45,89,2007,Adult obesity,11,40
MS,Sharkey County,28,125,2009,Adult obesity,11,40
AL,Lowndes County,1,85,2007,Adult obesity,11,40
MS,Sunflower County,28,133,2007,Adult obesity,11,40
LA,Terrebonne Parish,22,109,2010,Adult obesity,11,40
AL,Marengo County,1,91,2009,Adult obesity,11,40
AL,Macon County,1,87,2008,Adult obesity,11,40
AL,Perry County,1,105,2009,Adult obesity,11,40
KY,Breathitt County,21,25,2010,Adult obesity,11,40
KY,Breathitt County,21,25,2009,Adult obesity,11,40
SC,Orangeburg County,45,75,2010,Adult obesity,11,40
SC,Orangeburg County,45,75,2009,Adult obesity,11,40
AL,Perry County,1,105,2007,Adult obesity,11,40
AL,Hale County,1,65,2008,Adult obesity,11,40
AL,Sumter County,1,119,2007,Adult obesity,11,40
MS,Quitman County,28,119,2009,Adult obesity,11,40
SC,Jasper County,45,53,2009,Adult obesity,11,40
MS,Tunica County,28,143,2009,Adult obesity,11,40
SC,Lee County,45,61,2010,Adult obesity,11,40
WI,Menominee County,55,78,2010,Adult obesity,11,40
SD,Shannon County,46,113,2007,Adult obesity,11,40
AL,Sumter County,1,119,2010,Adult obesity,11,40
MS,Quitman County,28,119,2008,Adult obesity,11,40
ND,Rolette County,38,79,2009,Adult obesity,11,40
OH,Lawrence County,39,87,2009,Adult obesity,11,40
MI,Saginaw County,26,145,2010,Adult obesity,11,40
MI,Saginaw County,26,145,2009,Adult obesity,11,40
SC,Fairfield County,45,39,2010,Adult obesity,11,40
LA,Madison Parish,22,65,2010,Adult obesity,11,40
MS,Noxubee County,28,103,2009,Adult obesity,11,40
ND,Rolette County,38,79,2010,Adult obesity,11,40
MS,Jasper County,28,61,2010,Adult obesity,11,40
MS,Jefferson County,28,63,2006,Adult obesity,11,40
KY,Johnson County,21,115,2010,Adult obesity,11,40
MS,Coahoma County,28,27,2007,Adult obesity,11,40
MS,Leflore County,28,83,2006,Adult obesity,11,40
VA,Portsmouth city,51,740,2010,Adult obesity,11,40
NE,Thurston County,31,173,2010,Adult obesity,11,40
MS,Greene County,28,41,2009,Adult obesity,11,40
MS,Washington County,28,151,2010,Adult obesity,11,40
KY,Lincoln County,21,137,2009,Adult obesity,11,40
AL,Dallas County,1,47,2008,Adult obesity,11,40
MT,Rosebud County,30,87,2008,Adult obesity,11,40
MS,Coahoma County,28,27,2006,Adult obesity,11,40
AL,Dallas County,1,47,2006,Adult obesity,11,40
MT,Rosebud County,30,87,2007,Adult obesity,11,39
AL,Choctaw County,1,23,2010,Adult obesity,11,39
KY,Martin County,21,159,2009,Adult obesity,11,39
MS,Jasper County,28,61,2009,Adult obesity,11,39
MS,Walthall County,28,147,2010,Adult obesity,11,39
AR,St. Francis County,5,123,2010,Adult obesity,11,39
MS,Walthall County,28,147,2008,Adult obesity,11,39
MS,Walthall County,28,147,2009,Adult obesity,11,39
AR,Phillips County,5,107,2009,Adult obesity,11,39
MS,Holmes County,28,51,2005,Adult obesity,11,39
KY,Letcher County,21,133,2009,Adult obesity,11,39
AR,Ashley County,5,3,2009,Adult obesity,11,39
MS,Jefferson County,28,63,2005,Adult obesity,11,39
KY,Martin County,21,159,2010,Adult obesity,11,39
AR,Mississippi County,5,93,2010,Adult obesity,11,39
LA,Washington Parish,22,117,2010,Adult obesity,11,39
MS,Warren County,28,149,2009,Adult obesity,11,39
AR,Mississippi County,5,93,2009,Adult obesity,11,39
