state,county,state_code,county_code,year_span,measure_name,measure_id,numerator,denominator,raw_value,confidence_lower,confidence_upper
AL,Autauga County,1,1,2004,Physical inactivity,70,3420.8,10690,0.32,0.25,0.4
AL,Autauga County,1,1,2005,Physical inactivity,70,3313.9,10690,0.31,0.25,0.38
AL,Autauga County,1,1,2006,Physical inactivity,70,3587.2,11210,0.32,0.25,0.39
AL,Autauga County,1,1,2007,Physical inactivity,70,3857.7,11690,0.33,0.27,0.4
AL,Autauga County,1,1,2008,Physical inactivity,70,3880.8,11760,0.33,0.27,0.4
AL,Autauga County,1,1,2009,Physical inactivity,70,3658.24,11361,0.32,0.27,0.38
AL,Autauga County,1,1,2010,Physical inactivity,70,11310,38469.38776,0.294,0.246,0.347
AL,Baldwin County,1,3,2004,Physical inactivity,70,8478,31400,0.27,0.22,0.32
AL,Baldwin County,1,3,2005,Physical inactivity,70,8174.4,31440,0.26,0.21,0.31
AL,Baldwin County,1,3,2006,Physical inactivity,70,8673.6,33360,0.26,0.22,0.31
AL,Baldwin County,1,3,2007,Physical inactivity,70,7825,31300,0.25,0.21,0.28
AL,Baldwin County,1,3,2008,Physical inactivity,70,8185,32740,0.25,0.22,0.29
AL,Baldwin County,1,3,2009,Physical inactivity,70,8497.44,33720,0.25,0.23,0.28
AL,Baldwin County,1,3,2010,Physical inactivity,70,37735,136721.0145,0.276,0.247,0.308
AL,Barbour County,1,5,2004,Physical inactivity,70,2437.12,7168,0.34,0.27,0.43
AL,Barbour County,1,5,2005,Physical inactivity,70,2708.28,7523,0.36,0.29,0.45
AL,Barbour County,1,5,2006,Physical inactivity,70,2534.7,7242,0.35,0.28,0.43
AL,Barbour County,1,5,2007,Physical inactivity,70,2412.98,7097,0.34,0.28,0.41
AL,Barbour County,1,5,2008,Physical inactivity,70,2679.95,7657,0.35,0.29,0.41
AL,Barbour County,1,5,2009,Physical inactivity,70,2611.51,7636,0.34,0.29,0.39
AL,Barbour County,1,5,2010,Physical inactivity,70,7271,20774.28571,0.35,0.3,0.404
AL,Bibb County,1,7,2004,Physical inactivity,70,1239.84,4428,0.28,0.21,0.37
AL,Bibb County,1,7,2005,Physical inactivity,70,1592.96,4978,0.32,0.24,0.41
AL,Bibb County,1,7,2006,Physical inactivity,70,1969.45,5627,0.35,0.28,0.44
AL,Bibb County,1,7,2007,Physical inactivity,70,2066.76,5741,0.36,0.29,0.44
AL,Bibb County,1,7,2008,Physical inactivity,70,2179.3,5890,0.37,0.3,0.44
AL,Bibb County,1,7,2009,Physical inactivity,70,2221.21,5971,0.37,0.32,0.43
AL,Bibb County,1,7,2010,Physical inactivity,70,6341,17137.83784,0.37,0.315,0.429
AL,Blount County,1,9,2004,Physical inactivity,70,3603,12010,0.3,0.23,0.38
AL,Blount County,1,9,2005,Physical inactivity,70,3729,12430,0.3,0.23,0.39
AL,Blount County,1,9,2006,Physical inactivity,70,3801,12670,0.3,0.24,0.38
AL,Blount County,1,9,2007,Physical inactivity,70,4294.4,13420,0.32,0.25,0.4
AL,Blount County,1,9,2008,Physical inactivity,70,5138,14680,0.35,0.28,0.43
AL,Blount County,1,9,2009,Physical inactivity,70,5528.6,15400,0.36,0.3,0.42
AL,Blount County,1,9,2010,Physical inactivity,70,14633,41808.57143,0.35,0.292,0.411
AL,Bullock County,1,11,2004,Physical inactivity,70,1005.55,2873,0.35,0.28,0.44
AL,Bullock County,1,11,2005,Physical inactivity,70,1001.7,2862,0.35,0.28,0.44
AL,Bullock County,1,11,2006,Physical inactivity,70,859.98,2606,0.33,0.26,0.4
