state,county,state_code,county_code,measure_name,measure_id,raw_value_x,raw_value_y
AL,Alabama,1,0,Premature Death,1,10059.7,9931.53
AL,Alabama,1,0,Premature Death,1,9975.3,9931.53
AL,Alabama,1,0,Premature Death,1,9919.8,9931.53
AL,Alabama,1,0,Premature Death,1,9855.3,9931.53
AL,Alabama,1,0,Premature Death,1,9896.4,9931.53
AL,Alabama,1,0,Premature Death,1,9951.3,9931.53
AL,Alabama,1,0,Premature Death,1,10017,9931.53
AL,Alabama,1,0,Premature Death,1,10054.383,9931.53
AL,Alabama,1,0,Premature Death,1,10064.433,9931.53
AL,Alabama,1,0,Premature Death,1,10005.735,9931.53
AL,Alabama,1,0,Premature Death,1,9770.098,9931.53
AL,Alabama,1,0,Premature Death,1,9608.9,9931.53
AL,Autauga County,1,1,Premature Death,1,8723.9,9014.69
AL,Autauga County,1,1,Premature Death,1,8269.2,9014.69
AL,Autauga County,1,1,Premature Death,1,7816.8,9014.69
AL,Autauga County,1,1,Premature Death,1,8936.8,9014.69
AL,Autauga County,1,1,Premature Death,1,9427.1,9014.69
AL,Autauga County,1,1,Premature Death,1,9562.9,9014.69
AL,Autauga County,1,1,Premature Death,1,9326.9,9014.69
AL,Autauga County,1,1,Premature Death,1,9576.598,9014.69
AL,Autauga County,1,1,Premature Death,1,9711.588,9014.69
AL,Autauga County,1,1,Premature Death,1,9647.208,9014.69
AL,Autauga County,1,1,Premature Death,1,8800.879,9014.69
AL,Autauga County,1,1,Premature Death,1,8376.42,9014.69
AL,Baldwin County,1,3,Premature Death,1,8699.8,8238.33
AL,Baldwin County,1,3,Premature Death,1,8596.4,8238.33
AL,Baldwin County,1,3,Premature Death,1,8523.2,8238.33
AL,Baldwin County,1,3,Premature Death,1,8532,8238.33
AL,Baldwin County,1,3,Premature Death,1,8479.4,8238.33
AL,Baldwin County,1,3,Premature Death,1,8242.3,8238.33
AL,Baldwin County,1,3,Premature Death,1,8074.5,8238.33
AL,Baldwin County,1,3,Premature Death,1,8030.581,8238.33
AL,Baldwin County,1,3,Premature Death,1,8129.6,8238.33
AL,Baldwin County,1,3,Premature Death,1,7890.593,8238.33
AL,Baldwin County,1,3,Premature Death,1,7891.405,8238.33
AL,Baldwin County,1,3,Premature Death,1,7770.16,8238.33
AL,Barbour County,1,5,Premature Death,1,10432.1,10094.08
AL,Barbour County,1,5,Premature Death,1,9882,10094.08
AL,Barbour County,1,5,Premature Death,1,10215.1,10094.08
AL,Barbour County,1,5,Premature Death,1,10492.8,10094.08
AL,Barbour County,1,5,Premature Death,1,10540,10094.08
AL,Barbour County,1,5,Premature Death,1,10484.1,10094.08
AL,Barbour County,1,5,Premature Death,1,10973,10094.08
AL,Barbour County,1,5,Premature Death,1,10732.666,10094.08
AL,Barbour County,1,5,Premature Death,1,9952.838,10094.08
AL,Barbour County,1,5,Premature Death,1,8678.661,10094.08
AL,Barbour County,1,5,Premature Death,1,9287.54,10094.08
AL,Barbour County,1,5,Premature Death,1,9458.14,10094.08
AL,Bibb County,1,7,Premature Death,1,11694.1,11553.56
AL,Bibb County,1,7,Premature Death,1,11261.1,11553.56
AL,Bibb County,1,7,Premature Death,1,11007.6,11553.56
AL,Bibb County,1,7,Premature Death,1,10402.9,11553.56
AL,Bibb County,1,7,Premature Death,1,11038,11553.56
AL,Bibb County,1,7,Premature Death,1,11344.8,11553.56
AL,Bibb County,1,7,Premature Death,1,12247.6,11553.56
AL,Bibb County,1,7,Premature Death,1,12298.837,11553.56
AL,Bibb County,1,7,Premature Death,1,12338.193,11553.56
AL,Bibb County,1,7,Premature Death,1,12062.089,11553.56
AL,Bibb County,1,7,Premature Death,1,11403.627,11553.56
AL,Bibb County,1,7,Premature Death,1,11543.9,11553.56
AL,Blount County,1,9,Premature Death,1,8095.6,8729.98
AL,Blount County,1,9,Premature Death,1,8480.1,8729.98
AL,Blount County,1,9,Premature Death,1,8255.6,8729.98
AL,Blount County,1,9,Premature Death,1,8632.6,8729.98
AL,Blount County,1,9,Premature Death,1,9055.8,8729.98
AL,Blount County,1,9,Premature Death,1,9731.1,8729.98
