state,county,state_code,county_code,year_span,measure_name,measure_id,numerator,denominator,raw_value,confidence_lower,confidence_upper
AL,Alabama,1,0,2003-2005,Preventable hospital stays,5,,1545287,97,96,97
AL,Alabama,1,0,2006-2007,Preventable hospital stays,5,,1000378,88,87,89
AL,Alabama,1,0,2008,Preventable hospital stays,5,,483738,87,86,88
AL,Alabama,1,0,2009,Preventable hospital stays,5,,473039,83,82,83
AL,Alabama,1,0,2010,Preventable hospital stays,5,,488857,80,79,81
AL,Alabama,1,0,2011,Preventable hospital stays,5,,501422,76.436,75.67,77.201
AL,Autauga County,1,1,2003-2005,Preventable hospital stays,5,,14466,92,87,97
AL,Autauga County,1,1,2006-2007,Preventable hospital stays,5,,9224,79,73,85
AL,Autauga County,1,1,2008,Preventable hospital stays,5,,4092,81,72,90
AL,Autauga County,1,1,2009,Preventable hospital stays,5,,4036,91,82,101
AL,Autauga County,1,1,2010,Preventable hospital stays,5,,4416,71,63,79
AL,Autauga County,1,1,2011,Preventable hospital stays,5,,4698,75.14559066,67.01311725,83.27806407
AL,Baldwin County,1,3,2003-2005,Preventable hospital stays,5,,67213,72,70,74
AL,Baldwin County,1,3,2006-2007,Preventable hospital stays,5,,43513,64,62,66
AL,Baldwin County,1,3,2008,Preventable hospital stays,5,,21486,63,59,66
AL,Baldwin County,1,3,2009,Preventable hospital stays,5,,21199,58,55,62
AL,Baldwin County,1,3,2010,Preventable hospital stays,5,,21837,56,53,59
AL,Baldwin County,1,3,2011,Preventable hospital stays,5,,22090,54.27298863,51.11271379,57.43326347
AL,Barbour County,1,5,2003-2005,Preventable hospital stays,5,,10371,100,94,106
AL,Barbour County,1,5,2006-2007,Preventable hospital stays,5,,6169,90,83,98
AL,Barbour County,1,5,2008,Preventable hospital stays,5,,3042,84,74,94
AL,Barbour County,1,5,2009,Preventable hospital stays,5,,3059,113,101,124
AL,Barbour County,1,5,2010,Preventable hospital stays,5,,3240,109,98,120
AL,Barbour County,1,5,2011,Preventable hospital stays,5,,3006,101.2316977,90.10518593,112.3582095
AL,Bibb County,1,7,2003-2005,Preventable hospital stays,5,,6527,105,97,113
AL,Bibb County,1,7,2006-2007,Preventable hospital stays,5,,3955,95,85,105
AL,Bibb County,1,7,2008,Preventable hospital stays,5,,1815,106,90,121
AL,Bibb County,1,7,2009,Preventable hospital stays,5,,1749,98,83,113
AL,Bibb County,1,7,2010,Preventable hospital stays,5,,1863,87,73,101
AL,Bibb County,1,7,2011,Preventable hospital stays,5,,1906,89.55643418,75.59196856,103.5208998
AL,Blount County,1,9,2003-2005,Preventable hospital stays,5,,12769,108,102,114
AL,Blount County,1,9,2006-2007,Preventable hospital stays,5,,7975,101,94,108
AL,Blount County,1,9,2008,Preventable hospital stays,5,,3884,96,86,106
AL,Blount County,1,9,2009,Preventable hospital stays,5,,3783,99,88,109
AL,Blount County,1,9,2010,Preventable hospital stays,5,,3899,95,85,105
AL,Blount County,1,9,2011,Preventable hospital stays,5,,3949,90.9679868,81.12316787,100.8128057
AL,Bullock County,1,11,2003-2005,Preventable hospital stays,5,,3110,121,110,131
AL,Bullock County,1,11,2006-2007,Preventable hospital stays,5,,1671,95,82,109
AL,Bullock County,1,11,2008,Preventable hospital stays,5,,1019,106,88,124
AL,Bullock County,1,11,2009,Preventable hospital stays,5,,996,93,76,110
AL,Bullock County,1,11,2010,Preventable hospital stays,5,,1035,117,98,136
AL,Bullock County,1,11,2011,Preventable hospital stays,5,,1075,90.63310939,74.21020289,107.0560159
AL,Butler County,1,13,2003-2005,Preventable hospital stays,5,,10038,180,172,188
AL,Butler County,1,13,2006-2007,Preventable hospital stays,5,,6354,165,155,174
AL,Butler County,1,13,2008,Preventable hospital stays,5,,2663,150,136,164
AL,Butler County,1,13,2009,Preventable hospital stays,5,,2492,170,154,185
AL,Butler County,1,13,2010,Preventable hospital stays,5,,2560,143,129,157
AL,Butler County,1,13,2011,Preventable hospital stays,5,,2900,128.3004193,115.7893778,140.8114607
AL,Calhoun County,1,15,2003-2005,Preventable hospital stays,5,,47661,110,107,113
AL,Calhoun County,1,15,2006-2007,Preventable hospital stays,5,,31163,93,90,97
