state,county,state_code,county_code,year_span,measure_name,measure_id,numerator,denominator
AL,Autauga County,1,1,2007,Sexually transmitted infections,45,184,49730
AL,Autauga County,1,1,2008,Sexually transmitted infections,45,155,50364
AL,Autauga County,1,1,2009,Sexually transmitted infections,45,214,50365
AL,Autauga County,1,1,2010,Sexually transmitted infections,45,198,54571
AL,Autauga County,1,1,2011,Sexually transmitted infections,45,247,55267
AL,Baldwin County,1,3,2007,Sexually transmitted infections,45,416,169162
AL,Baldwin County,1,3,2008,Sexually transmitted infections,45,395,174439
AL,Baldwin County,1,3,2009,Sexually transmitted infections,45,471,174444
AL,Baldwin County,1,3,2010,Sexually transmitted infections,45,558,182265
AL,Baldwin County,1,3,2011,Sexually transmitted infections,45,563,186717
AL,Barbour County,1,5,2007,Sexually transmitted infections,45,165,28171
AL,Barbour County,1,5,2008,Sexually transmitted infections,45,139,29309
AL,Barbour County,1,5,2009,Sexually transmitted infections,45,208,29308
AL,Barbour County,1,5,2010,Sexually transmitted infections,45,177,27457
AL,Barbour County,1,5,2011,Sexually transmitted infections,45,237,27119
AL,Bibb County,1,7,2007,Sexually transmitted infections,45,61,21482
AL,Bibb County,1,7,2008,Sexually transmitted infections,45,65,21629
AL,Bibb County,1,7,2009,Sexually transmitted infections,45,69,21630
AL,Bibb County,1,7,2010,Sexually transmitted infections,45,75,22915
AL,Bibb County,1,7,2011,Sexually transmitted infections,45,106,22766
AL,Blount County,1,9,2007,Sexually transmitted infections,45,48,56436
AL,Blount County,1,9,2008,Sexually transmitted infections,45,60,57441
AL,Blount County,1,9,2009,Sexually transmitted infections,45,50,57471
AL,Blount County,1,9,2010,Sexually transmitted infections,45,65,57322
AL,Blount County,1,9,2011,Sexually transmitted infections,45,101,57677
AL,Bullock County,1,11,2007,Sexually transmitted infections,45,79,10906
AL,Bullock County,1,11,2008,Sexually transmitted infections,45,72,10796
AL,Bullock County,1,11,2009,Sexually transmitted infections,45,91,10796
AL,Bullock County,1,11,2010,Sexually transmitted infections,45,84,10914
AL,Bullock County,1,11,2011,Sexually transmitted infections,45,148,10542
AL,Butler County,1,13,2007,Sexually transmitted infections,45,130,20520
AL,Butler County,1,13,2008,Sexually transmitted infections,45,124,20090
AL,Butler County,1,13,2009,Sexually transmitted infections,45,121,20090
AL,Butler County,1,13,2010,Sexually transmitted infections,45,135,20947
AL,Butler County,1,13,2011,Sexually transmitted infections,45,132,20650
AL,Calhoun County,1,15,2007,Sexually transmitted infections,45,604,112903
AL,Calhoun County,1,15,2008,Sexually transmitted infections,45,690,113419
AL,Calhoun County,1,15,2009,Sexually transmitted infections,45,616,113423
AL,Calhoun County,1,15,2010,Sexually transmitted infections,45,671,118572
AL,Calhoun County,1,15,2011,Sexually transmitted infections,45,781,117797
AL,Chambers County,1,17,2007,Sexually transmitted infections,45,223,35176
AL,Chambers County,1,17,2008,Sexually transmitted infections,45,211,34424
AL,Chambers County,1,17,2009,Sexually transmitted infections,45,194,34422
AL,Chambers County,1,17,2010,Sexually transmitted infections,45,227,34215
AL,Chambers County,1,17,2011,Sexually transmitted infections,45,260,33939
AL,Cherokee County,1,19,2007,Sexually transmitted infections,45,38,24863
AL,Cherokee County,1,19,2008,Sexually transmitted infections,45,38,24545
AL,Cherokee County,1,19,2009,Sexually transmitted infections,45,45,24550
AL,Cherokee County,1,19,2010,Sexually transmitted infections,45,67,25989
AL,Cherokee County,1,19,2011,Sexually transmitted infections,45,70,26057
AL,Chilton County,1,21,2007,Sexually transmitted infections,45,98,41953
AL,Chilton County,1,21,2008,Sexually transmitted infections,45,108,42444
AL,Chilton County,1,21,2009,Sexually transmitted infections,45,103,42439
AL,Chilton County,1,21,2010,Sexually transmitted infections,45,86,43643
AL,Chilton County,1,21,2011,Sexually transmitted infections,45,141,43895
AL,Choctaw County,1,23,2007,Sexually transmitted infections,45,69,14656
AL,Choctaw County,1,23,2008,Sexually transmitted infections,45,63,14055
AL,Choctaw County,1,23,2009,Sexually transmitted infections,45,59,14054
AL,Choctaw County,1,23,2010,Sexually transmitted infections,45,60,13859
AL,Choctaw County,1,23,2011,Sexually transmitted infections,45,63,13609
AL,Clarke County,1,25,2007,Sexually transmitted infections,45,167,27248
AL,Clarke County,1,25,2008,Sexually transmitted infections,45,165,26304
AL,Clarke County,1,25,2009,Sexually transmitted infections,45,189,26305
AL,Clarke County,1,25,2010,Sexually transmitted infections,45,197,25833
AL,Clarke County,1,25,2011,Sexually transmitted infections,45,211,25695
AL,Clay County,1,27,2007,Sexually transmitted infections,45,56,13829
AL,Clay County,1,27,2008,Sexually transmitted infections,45,68,13809
AL,Clay County,1,27,2009,Sexually transmitted infections,45,57,13808
AL,Clay County,1,27,2010,Sexually transmitted infections,45,55,13932
AL,Clay County,1,27,2011,Sexually transmitted infections,45,63,13862
AL,Cleburne County,1,29,2007,Sexually transmitted infections,45,24,14700
AL,Cleburne County,1,29,2008,Sexually transmitted infections,45,39,14799
AL,Cleburne County,1,29,2009,Sexually transmitted infections,45,18,14803
AL,Cleburne County,1,29,2010,Sexually transmitted infections,45,33,14972
AL,Cleburne County,1,29,2011,Sexually transmitted infections,45,40,14835
AL,Coffee County,1,31,2007,Sexually transmitted infections,45,253,46027
AL,Coffee County,1,31,2008,Sexually transmitted infections,45,274,47753
AL,Coffee County,1,31,2009,Sexually transmitted infections,45,257,47752
AL,Coffee County,1,31,2010,Sexually transmitted infections,45,311,49948
AL,Coffee County,1,31,2011,Sexually transmitted infections,45,289,50526
AL,Colbert County,1,33,2007,Sexually transmitted infections,45,243,54766
AL,Colbert County,1,33,2008,Sexually transmitted infections,45,321,54663
AL,Colbert County,1,33,2009,Sexually transmitted infections,45,239,54666
AL,Colbert County,1,33,2010,Sexually transmitted infections,45,271,54428
AL,Colbert County,1,33,2011,Sexually transmitted infections,45,326,54512
AL,Conecuh County,1,35,2007,Sexually transmitted infections,45,37,13403
AL,Conecuh County,1,35,2008,Sexually transmitted infections,45,29,13066
AL,Conecuh County,1,35,2009,Sexually transmitted infections,45,75,13066
AL,Conecuh County,1,35,2010,Sexually transmitted infections,45,80,13228
AL,Conecuh County,1,35,2011,Sexually transmitted infections,45,87,13105
AL,Coosa County,1,37,2007,Sexually transmitted infections,45,54,11044
AL,Coosa County,1,37,2008,Sexually transmitted infections,45,45,10814
AL,Coosa County,1,37,2009,Sexually transmitted infections,45,39,10815
