state,county,state_code,county_code,measure_name,measure_id,raw_value
PR,Salinas Municipio,72,123,Unemployment,23,0.25
PR,Orocovis Municipio,72,107,Unemployment,23,0.23
PR,Maricao Municipio,72,93,Unemployment,23,0.23
PR,Yabucoa Municipio,72,151,Unemployment,23,0.23
PR,Adjuntas Municipio,72,1,Unemployment,23,0.23
PR,Patillas Municipio,72,109,Unemployment,23,0.23
PR,Arroyo Municipio,72,15,Unemployment,23,0.22
PR,Maunabo Municipio,72,95,Unemployment,23,0.22
PR,Comerio Municipio,72,45,Unemployment,23,0.22
PR,Florida Municipio,72,54,Unemployment,23,0.22
PR,Ciales Municipio,72,39,Unemployment,23,0.21
CA,Imperial County,6,25,Unemployment,23,0.21
PR,Coamo Municipio,72,43,Unemployment,23,0.2
PR,Guanica Municipio,72,55,Unemployment,23,0.2
AK,Wade Hampton Census Area,2,270,Unemployment,23,0.2
AZ,Yuma County,4,27,Unemployment,23,0.2
PR,Jayuya Municipio,72,73,Unemployment,23,0.2
PR,Villalba Municipio,72,149,Unemployment,23,0.2
PR,Guayama Municipio,72,57,Unemployment,23,0.2
PR,Las Piedras Municipio,72,85,Unemployment,23,0.19
PR,Humacao Municipio,72,69,Unemployment,23,0.19
PR,Aibonito Municipio,72,9,Unemployment,23,0.19
PR,Utuado Municipio,72,141,Unemployment,23,0.19
PR,Lajas Municipio,72,79,Unemployment,23,0.18
PR,Cidra Municipio,72,41,Unemployment,23,0.18
PR,Naguabo Municipio,72,103,Unemployment,23,0.18
PR,Guayanilla Municipio,72,59,Unemployment,23,0.18
PR,Luquillo Municipio,72,89,Unemployment,23,0.18
PR,Barranquitas Municipio,72,19,Unemployment,23,0.18
PR,Morovis Municipio,72,101,Unemployment,23,0.18
PR,Santa Isabel Municipio,72,133,Unemployment,23,0.18
PR,Naranjito Municipio,72,105,Unemployment,23,0.17
PR,Corozal Municipio,72,47,Unemployment,23,0.17
PR,Cayey Municipio,72,35,Unemployment,23,0.17
PR,San German Municipio,72,125,Unemployment,23,0.17
PR,Sabana Grande Municipio,72,121,Unemployment,23,0.17
PR,Hatillo Municipio,72,65,Unemployment,23,0.17
PR,San Sebastian Municipio,72,131,Unemployment,23,0.17
PR,Ceiba Municipio,72,37,Unemployment,23,0.17
PR,Juncos Municipio,72,77,Unemployment,23,0.17
PR,Penuelas Municipio,72,111,Unemployment,23,0.17
PR,Loiza Municipio,72,87,Unemployment,23,0.17
PR,Yauco Municipio,72,153,Unemployment,23,0.16
PR,Barceloneta Municipio,72,17,Unemployment,23,0.16
PR,Rincon Municipio,72,117,Unemployment,23,0.16
PR,Canovanas Municipio,72,29,Unemployment,23,0.16
PR,Aguas Buenas Municipio,72,7,Unemployment,23,0.16
PR,Fajardo Municipio,72,53,Unemployment,23,0.16
PR,Lares Municipio,72,81,Unemployment,23,0.16
PR,San Lorenzo Municipio,72,129,Unemployment,23,0.16
CA,Colusa County,6,11,Unemployment,23,0.16
PR,Quebradillas Municipio,72,115,Unemployment,23,0.16
PR,Juana Diaz Municipio,72,75,Unemployment,23,0.16
PR,Mayaguez Municipio,72,97,Unemployment,23,0.16
PR,Manati Municipio,72,91,Unemployment,23,0.16
PR,Moca Municipio,72,99,Unemployment,23,0.15
PR,Isabela Municipio,72,71,Unemployment,23,0.15
SC,Marion County,45,67,Unemployment,23,0.15
MI,Baraga County,26,13,Unemployment,23,0.15
PR,Hormigueros Municipio,72,67,Unemployment,23,0.15
NM,Luna County,35,29,Unemployment,23,0.15
PR,Anasco Municipio,72,11,Unemployment,23,0.15
