state,county,state_code,county_code,year_span,measure_name,measure_id,numerator,denominator,raw_value,confidence_lower,confidence_upper
AL,Alabama,1,0,2006,Uninsured,85,621448,3961644,0.157,15.68236,0.17464
AL,Alabama,1,0,2007,Uninsured,85,579599,3978327,0.146,0.1264,0.1656
AL,Alabama,1,0,2008,Uninsured,85,600542,3915304,0.153,0.14516,0.16084
AL,Alabama,1,0,2009,Uninsured,85,623621,3947226,0.158,0.153234043,0.162765957
AL,Alabama,1,0,2010,Uninsured,85,681437,4021188,0.169,0.164248485,0.173751515
AL,Alabama,1,0,2011,Uninsured,85,669410,4027622,0.166204773,0.161438816,0.17097073
AL,Autauga County,1,1,2006,Uninsured,85,6309,44943,0.14,13.95492,0.18508
AL,Autauga County,1,1,2007,Uninsured,85,6207,45256,0.137,0.0978,0.1762
AL,Autauga County,1,1,2008,Uninsured,85,5880,44354,0.133,0.10948,0.15652
AL,Autauga County,1,1,2009,Uninsured,85,6059,43838,0.138,0.123702128,0.152297872
AL,Autauga County,1,1,2010,Uninsured,85,6467,47547,0.136,0.119369697,0.152630303
AL,Autauga County,1,1,2011,Uninsured,85,6682,47964,0.139312818,0.123823456,0.15480218
AL,Baldwin County,1,3,2006,Uninsured,85,28811,143017,0.201,20.05296,0.24804
AL,Baldwin County,1,3,2007,Uninsured,85,26576,145484,0.183,0.14184,0.22416
AL,Baldwin County,1,3,2008,Uninsured,85,23631,143932,0.164,0.13852,0.18948
AL,Baldwin County,1,3,2009,Uninsured,85,23971,145941,0.164,0.149702128,0.178297872
AL,Baldwin County,1,3,2010,Uninsured,85,28586,149780,0.191,0.174369697,0.207630303
AL,Baldwin County,1,3,2011,Uninsured,85,25214,152073,0.16580195,0.150312589,0.181291312
AL,Barbour County,1,5,2006,Uninsured,85,3492,21621,0.162,16.14708,0.21492
AL,Barbour County,1,5,2007,Uninsured,85,3064,22676,0.135,0.09384,0.17616
AL,Barbour County,1,5,2008,Uninsured,85,3934,22304,0.176,0.14464,0.20736
AL,Barbour County,1,5,2009,Uninsured,85,4781,24701,0.194,0.172553192,0.215446809
AL,Barbour County,1,5,2010,Uninsured,85,3782,20428,0.185,0.163618182,0.206381818
AL,Barbour County,1,5,2011,Uninsured,85,3810,20148,0.189100655,0.168845336,0.209355974
AL,Bibb County,1,7,2006,Uninsured,85,2667,17790,0.15,14.94904,0.20096
AL,Bibb County,1,7,2007,Uninsured,85,2913,17639,0.165,0.11992,0.21008
AL,Bibb County,1,7,2008,Uninsured,85,3147,17468,0.18,0.14472,0.21528
AL,Bibb County,1,7,2009,Uninsured,85,3349,18157,0.184,0.163744681,0.204255319
AL,Bibb County,1,7,2010,Uninsured,85,3166,17869,0.177,0.155618182,0.198381818
AL,Bibb County,1,7,2011,Uninsured,85,2827,17693,0.159780704,0.140716874,0.178844534
AL,Blount County,1,9,2006,Uninsured,85,9745,48794,0.2,19.94512,0.25488
AL,Blount County,1,9,2007,Uninsured,85,9015,49357,0.183,0.13596,0.23004
AL,Blount County,1,9,2008,Uninsured,85,9482,48908,0.194,0.16264,0.22536
AL,Blount County,1,9,2009,Uninsured,85,8591,48827,0.176,0.15812766,0.19387234
AL,Blount County,1,9,2010,Uninsured,85,9351,48500,0.193,0.173993939,0.212006061
AL,Blount County,1,9,2011,Uninsured,85,8807,48752,0.180648999,0.162776659,0.198521339
AL,Bullock County,1,11,2006,Uninsured,85,1493,8270,0.181,18.04316,0.23784
AL,Bullock County,1,11,2007,Uninsured,85,1211,8074,0.15,0.10492,0.19508
AL,Bullock County,1,11,2008,Uninsured,85,1516,7950,0.191,0.15376,0.22824
AL,Bullock County,1,11,2009,Uninsured,85,1982,9380,0.211,0.185978723,0.236021277
AL,Bullock County,1,11,2010,Uninsured,85,1285,7911,0.162,0.139430303,0.184569697
AL,Bullock County,1,11,2011,Uninsured,85,1200,7623,0.157418339,0.13716302,0.177673658
AL,Butler County,1,13,2006,Uninsured,85,2498,17193,0.145,14.451,0.194
AL,Butler County,1,13,2007,Uninsured,85,2445,16968,0.144,0.10088,0.18712
AL,Butler County,1,13,2008,Uninsured,85,2855,16713,0.171,0.13964,0.20236
AL,Butler County,1,13,2009,Uninsured,85,2896,16247,0.178,0.15893617,0.19706383
AL,Butler County,1,13,2010,Uninsured,85,2971,17379,0.171,0.150806061,0.191193939
AL,Butler County,1,13,2011,Uninsured,85,2803,17114,0.163784037,0.144720207,0.182847866
AL,Calhoun County,1,15,2006,Uninsured,85,13036,95790,0.136,13.5608,0.1752
AL,Calhoun County,1,15,2007,Uninsured,85,12472,95467,0.131,0.09768,0.16432
AL,Calhoun County,1,15,2008,Uninsured,85,14469,93830,0.154,0.12852,0.17948
AL,Calhoun County,1,15,2009,Uninsured,85,14673,94560,0.155,0.140702128,0.169297872
AL,Calhoun County,1,15,2010,Uninsured,85,15920,99038,0.161,0.144369697,0.177630303
AL,Calhoun County,1,15,2011,Uninsured,85,16663,98317,0.169482389,0.152801538,0.18616324
AL,Chambers County,1,17,2006,Uninsured,85,3783,29406,0.129,12.85296,0.17604
AL,Chambers County,1,17,2007,Uninsured,85,3732,28849,0.129,0.0898,0.1682
AL,Chambers County,1,17,2008,Uninsured,85,4837,28398,0.17,0.1406,0.1994
AL,Chambers County,1,17,2009,Uninsured,85,5196,27771,0.187,0.16793617,0.20606383
AL,Chambers County,1,17,2010,Uninsured,85,5324,28287,0.188,0.166618182,0.209381818
AL,Chambers County,1,17,2011,Uninsured,85,5039,28109,0.179266427,0.159011108,0.199521746
AL,Cherokee County,1,19,2006,Uninsured,85,3543,20215,0.175,17.44316,0.23184
AL,Cherokee County,1,19,2007,Uninsured,85,3228,19930,0.162,0.11496,0.20904
AL,Cherokee County,1,19,2008,Uninsured,85,3370,19751,0.171,0.13964,0.20236
AL,Cherokee County,1,19,2009,Uninsured,85,3469,19537,0.178,0.16012766,0.19587234
AL,Cherokee County,1,19,2010,Uninsured,85,3980,21194,0.188,0.166618182,0.209381818
AL,Cherokee County,1,19,2011,Uninsured,85,3633,21179,0.171537844,0.152474014,0.190601674
AL,Chilton County,1,21,2006,Uninsured,85,6359,37066,0.172,17.14708,0.22492
AL,Chilton County,1,21,2007,Uninsured,85,6135,37012,0.166,0.12092,0.21108
AL,Chilton County,1,21,2008,Uninsured,85,6961,36584,0.19,0.15472,0.22528
AL,Chilton County,1,21,2009,Uninsured,85,6960,36406,0.191,0.17312766,0.20887234
AL,Chilton County,1,21,2010,Uninsured,85,7481,37409,0.2,0.178618182,0.221381818
AL,Chilton County,1,21,2011,Uninsured,85,7552,37452,0.201644772,0.181389453,0.221900091
AL,Choctaw County,1,23,2006,Uninsured,85,2046,11880,0.172,17.14708,0.22492
AL,Choctaw County,1,23,2007,Uninsured,85,1696,11571,0.147,0.10192,0.19208
AL,Choctaw County,1,23,2008,Uninsured,85,1810,11417,0.159,0.1296,0.1884
AL,Choctaw County,1,23,2009,Uninsured,85,2038,11225,0.182,0.16293617,0.20106383
AL,Choctaw County,1,23,2010,Uninsured,85,2013,11248,0.179,0.158806061,0.199193939
AL,Choctaw County,1,23,2011,Uninsured,85,1930,10980,0.175774135,0.156710305,0.194837965
AL,Clarke County,1,25,2006,Uninsured,85,3208,22692,0.141,14.05884,0.18216
AL,Clarke County,1,25,2007,Uninsured,85,3552,22199,0.16,0.11884,0.20116
AL,Clarke County,1,25,2008,Uninsured,85,3675,21860,0.168,0.1386,0.1974
AL,Clarke County,1,25,2009,Uninsured,85,3565,21230,0.168,0.15012766,0.18587234
AL,Clarke County,1,25,2010,Uninsured,85,3559,21393,0.166,0.145806061,0.186193939
AL,Clarke County,1,25,2011,Uninsured,85,3928,21308,0.184343908,0.164088589,0.204599228
AL,Clay County,1,27,2006,Uninsured,85,2021,11345,0.178,17.74316,0.23484
AL,Clay County,1,27,2007,Uninsured,85,1807,11264,0.16,0.11296,0.20704
AL,Clay County,1,27,2008,Uninsured,85,1837,11149,0.165,0.13168,0.19832
AL,Clay County,1,27,2009,Uninsured,85,1963,10916,0.18,0.16093617,0.19906383
AL,Clay County,1,27,2010,Uninsured,85,2129,11338,0.188,0.165430303,0.210569697
AL,Clay County,1,27,2011,Uninsured,85,2145,11188,0.191723275,0.170276466,0.213170083
AL,Cleburne County,1,29,2006,Uninsured,85,2147,12575,0.171,17.04512,0.22588
AL,Cleburne County,1,29,2007,Uninsured,85,1913,12547,0.152,0.10692,0.19708
AL,Cleburne County,1,29,2008,Uninsured,85,2190,12417,0.176,0.14268,0.20932
