state,county,state_code,county_code,measure_name,measure_id,raw_value
AL,Autauga County,1,1,Violent crime rate,43,285.53
AL,Baldwin County,1,3,Violent crime rate,43,219.14
AL,Barbour County,1,5,Violent crime rate,43,161.96
AL,Bibb County,1,7,Violent crime rate,43,221.17
AL,Blount County,1,9,Violent crime rate,43,162.54
AL,Bullock County,1,11,Violent crime rate,43,417.71
AL,Butler County,1,13,Violent crime rate,43,353.92
AL,Calhoun County,1,15,Violent crime rate,43,768.23
AL,Chambers County,1,17,Violent crime rate,43,456.5
AL,Cherokee County,1,19,Violent crime rate,43,149.6
AL,Chilton County,1,21,Violent crime rate,43,948.4
AL,Choctaw County,1,23,Violent crime rate,43,74.46
AL,Clarke County,1,25,Violent crime rate,43,335.89
AL,Clay County,1,27,Violent crime rate,43,303.75
AL,Cleburne County,1,29,Violent crime rate,43,253.26
AL,Coffee County,1,31,Violent crime rate,43,264.35
AL,Colbert County,1,33,Violent crime rate,43,395.32
AL,Conecuh County,1,35,Violent crime rate,43,255.57
AL,Coosa County,1,37,Violent crime rate,43,303.67
AL,Covington County,1,39,Violent crime rate,43,337.26
AL,Crenshaw County,1,41,Violent crime rate,43,233.19
AL,Cullman County,1,43,Violent crime rate,43,181.45
AL,Dale County,1,45,Violent crime rate,43,395.3
AL,Dallas County,1,47,Violent crime rate,43,618.39
AL,DeKalb County,1,49,Violent crime rate,43,208.26
AL,Elmore County,1,51,Violent crime rate,43,159.34
AL,Escambia County,1,53,Violent crime rate,43,568.88
AL,Etowah County,1,55,Violent crime rate,43,429.79
AL,Fayette County,1,57,Violent crime rate,43,194.06
AL,Franklin County,1,59,Violent crime rate,43,206.37
AL,Geneva County,1,61,Violent crime rate,43,290.7
AL,Greene County,1,63,Violent crime rate,43,835.65
AL,Hale County,1,65,Violent crime rate,43,450.35
AL,Henry County,1,67,Violent crime rate,43,297.37
AL,Houston County,1,69,Violent crime rate,43,460.35
AL,Jackson County,1,71,Violent crime rate,43,257.05
AL,Jefferson County,1,73,Violent crime rate,43,786.2
AL,Lamar County,1,75,Violent crime rate,43,42.34
AL,Lauderdale County,1,77,Violent crime rate,43,238.29
AL,Lawrence County,1,79,Violent crime rate,43,159.23
AL,Lee County,1,81,Violent crime rate,43,372.33
AL,Limestone County,1,83,Violent crime rate,43,89.98
AL,Lowndes County,1,85,Violent crime rate,43,470.47
AL,Macon County,1,87,Violent crime rate,43,586.57
AL,Madison County,1,89,Violent crime rate,43,529.63
AL,Marengo County,1,91,Violent crime rate,43,485.72
AL,Marion County,1,93,Violent crime rate,43,173.9
AL,Marshall County,1,95,Violent crime rate,43,221.79
AL,Mobile County,1,97,Violent crime rate,43,509.0
AL,Monroe County,1,99,Violent crime rate,43,610.83
AL,Montgomery County,1,101,Violent crime rate,43,540.04
AL,Morgan County,1,103,Violent crime rate,43,259.74
AL,Perry County,1,105,Violent crime rate,43,618.01
AL,Pickens County,1,107,Violent crime rate,43,282.7
AL,Pike County,1,109,Violent crime rate,43,289.77
AL,Randolph County,1,111,Violent crime rate,43,259.66
AL,Russell County,1,113,Violent crime rate,43,362.8
AL,St. Clair County,1,115,Violent crime rate,43,226.53
AL,Shelby County,1,117,Violent crime rate,43,157.56
AL,Sumter County,1,119,Violent crime rate,43,322.68
AL,Talladega County,1,121,Violent crime rate,43,331.64
AL,Tallapoosa County,1,123,Violent crime rate,43,543.46
AL,Tuscaloosa County,1,125,Violent crime rate,43,504.88
AL,Walker County,1,127,Violent crime rate,43,195.72
AL,Washington County,1,129,Violent crime rate,43,250.71
AL,Wilcox County,1,131,Violent crime rate,43,197.35
AL,Winston County,1,133,Violent crime rate,43,237.95
AK,Alaska,2,0,Violent crime rate,43,774.82
AK,Aleutians East Borough,2,13,Violent crime rate,43,
AK,Aleutians West Census Area,2,16,Violent crime rate,43,373.12
AK,Anchorage Borough,2,20,Violent crime rate,43,846.03
AK,Bethel Census Area,2,50,Violent crime rate,43,
AK,Bristol Bay Borough,2,60,Violent crime rate,43,804.48
AK,Denali Borough,2,68,Violent crime rate,43,
AK,Dillingham Census Area,2,70,Violent crime rate,43,1847.27
AK,Fairbanks North Star Borough,2,90,Violent crime rate,43,
AK,Haines Borough,2,100,Violent crime rate,43,343.07
AK,Juneau Borough,2,110,Violent crime rate,43,417.16
AK,Kenai Peninsula Borough,2,122,Violent crime rate,43,
AK,Ketchikan Gateway Borough,2,130,Violent crime rate,43,431.09
AK,Kodiak Island Borough,2,150,Violent crime rate,43,
AK,Lake and Peninsula Borough,2,164,Violent crime rate,43,
AK,Matanuska-Susitna Borough,2,170,Violent crime rate,43,
AK,Nome Census Area,2,180,Violent crime rate,43,
AK,North Slope Borough,2,185,Violent crime rate,43,922.52
AK,Northwest Arctic Borough,2,188,Violent crime rate,43,
AK,Prince of Wales-Outer Ketchikan Census Area,2,201,Violent crime rate,43,
AK,Sitka Borough,2,220,Violent crime rate,43,249.09
AK,Skagway-Hoonah-Angoon Census Area,2,232,Violent crime rate,43,
AK,Southeast Fairbanks Census Area,2,240,Violent crime rate,43,
AK,Valdez-Cordova Census Area,2,261,Violent crime rate,43,591.23
AK,Wade Hampton Census Area,2,270,Violent crime rate,43,
AK,Wrangell-Petersburg Census Area,2,280,Violent crime rate,43,228.59
AK,Yakutat Borough,2,282,Violent crime rate,43,
AK,Yukon-Koyukuk Census Area,2,290,Violent crime rate,43,
AZ,Arizona,4,0,Violent crime rate,43,466.3
AZ,Apache County,4,1,Violent crime rate,43,88.97
AZ,Cochise County,4,3,Violent crime rate,43,611.43
AZ,Coconino County,4,5,Violent crime rate,43,460.73
AZ,Gila County,4,7,Violent crime rate,43,461.62
AZ,Graham County,4,9,Violent crime rate,43,1071.84
AZ,Greenlee County,4,11,Violent crime rate,43,213.48
AZ,La Paz County,4,12,Violent crime rate,43,461.1
AZ,Maricopa County,4,13,Violent crime rate,43,476.63
AZ,Mohave County,4,15,Violent crime rate,43,273.85
AZ,Navajo County,4,17,Violent crime rate,43,366.36
AZ,Pima County,4,19,Violent crime rate,43,541.65
AZ,Pinal County,4,21,Violent crime rate,43,331.5
AZ,Santa Cruz County,4,23,Violent crime rate,43,186.57
AZ,Yavapai County,4,25,Violent crime rate,43,359.62
AZ,Yuma County,4,27,Violent crime rate,43,452.71
AR,Arkansas,5,0,Violent crime rate,43,520.48
AR,Arkansas County,5,1,Violent crime rate,43,372.64
AR,Ashley County,5,3,Violent crime rate,43,319.51
AR,Baxter County,5,5,Violent crime rate,43,123.28
AR,Benton County,5,7,Violent crime rate,43,210.83
AR,Boone County,5,9,Violent crime rate,43,299.56
AR,Bradley County,5,11,Violent crime rate,43,338.89
AR,Calhoun County,5,13,Violent crime rate,43,104.05
AR,Carroll County,5,15,Violent crime rate,43,216.1
AR,Chicot County,5,17,Violent crime rate,43,702.73
AR,Clark County,5,19,Violent crime rate,43,344.17
AR,Clay County,5,21,Violent crime rate,43,149.54
AR,Cleburne County,5,23,Violent crime rate,43,216.53
AR,Cleveland County,5,25,Violent crime rate,43,63.7
AR,Columbia County,5,27,Violent crime rate,43,495.4
AR,Conway County,5,29,Violent crime rate,43,278.4
AR,Craighead County,5,31,Violent crime rate,43,442.97
AR,Crawford County,5,33,Violent crime rate,43,199.41
AR,Crittenden County,5,35,Violent crime rate,43,1479.32
AR,Cross County,5,37,Violent crime rate,43,408.43
AR,Dallas County,5,39,Violent crime rate,43,438.7
AR,Desha County,5,41,Violent crime rate,43,634.07
AR,Drew County,5,43,Violent crime rate,43,393.36
AR,Faulkner County,5,45,Violent crime rate,43,262.0
AR,Franklin County,5,47,Violent crime rate,43,185.59
AR,Fulton County,5,49,Violent crime rate,43,147.58
AR,Garland County,5,51,Violent crime rate,43,614.06
AR,Grant County,5,53,Violent crime rate,43,203.02
AR,Greene County,5,55,Violent crime rate,43,304.26
AR,Hempstead County,5,57,Violent crime rate,43,506.14
AR,Hot Spring County,5,59,Violent crime rate,43,206.95
AR,Howard County,5,61,Violent crime rate,43,252.84
AR,Independence County,5,63,Violent crime rate,43,311.0
AR,Izard County,5,65,Violent crime rate,43,66.73
AR,Jackson County,5,67,Violent crime rate,43,513.43
AR,Jefferson County,5,69,Violent crime rate,43,1051.06
AR,Johnson County,5,71,Violent crime rate,43,176.87
AR,Lafayette County,5,73,Violent crime rate,43,176.35
AR,Lawrence County,5,75,Violent crime rate,43,139.2
AR,Lee County,5,77,Violent crime rate,43,322.4
AR,Lincoln County,5,79,Violent crime rate,43,153.92
AR,Little River County,5,81,Violent crime rate,43,122.7
AR,Logan County,5,83,Violent crime rate,43,215.9
AR,Lonoke County,5,85,Violent crime rate,43,398.47
AR,Madison County,5,87,Violent crime rate,43,221.16
AR,Marion County,5,89,Violent crime rate,43,192.08
AR,Miller County,5,91,Violent crime rate,43,1079.73
AR,Mississippi County,5,93,Violent crime rate,43,812.58
AR,Monroe County,5,95,Violent crime rate,43,91.48
AR,Montgomery County,5,97,Violent crime rate,43,243.76
AR,Nevada County,5,99,Violent crime rate,43,371.95
AR,Newton County,5,101,Violent crime rate,43,183.03
AR,Ouachita County,5,103,Violent crime rate,43,370.32
AR,Perry County,5,105,Violent crime rate,43,262.58
AR,Phillips County,5,107,Violent crime rate,43,1363.68
AR,Pike County,5,109,Violent crime rate,43,176.73
AR,Poinsett County,5,111,Violent crime rate,43,468.59
AR,Polk County,5,113,Violent crime rate,43,181.53
AR,Pope County,5,115,Violent crime rate,43,249.55
AR,Prairie County,5,117,Violent crime rate,43,171.57
AR,Pulaski County,5,119,Violent crime rate,43,1199.21
AR,Randolph County,5,121,Violent crime rate,43,41.02
